film_id;title;description;release_year;language_id;rental_duration;rental_rate;length;replacement_cost;rating;last_update;special_features;fulltext
28;Anthem Luke;A Touching Panorama of a Waitress And a Woman who must Outrace a Dog in An Abandoned Amusement Park;2006;1;5;4.99;91;16.99;PG-13;2013-05-26 14:50:58.951;"{""Deleted Scenes"",""Behind the Scenes""}";'abandon':19 'amus':20 'anthem':1 'dog':16 'luke':2 'must':13 'outrac':14 'panorama':5 'park':21 'touch':4 'waitress':8 'woman':11
31;Apache Divine;A Awe-Inspiring Reflection of a Pastry Chef And a Teacher who must Overcome a Sumo Wrestler in A U-Boat;2006;1;5;4.99;92;16.99;NC-17;2013-05-26 14:50:58.951;"{Commentaries,""Deleted Scenes"",""Behind the Scenes""}";'apach':1 'awe':5 'awe-inspir':4 'boat':25 'chef':11 'divin':2 'inspir':6 'must':16 'overcom':17 'pastri':10 'reflect':7 'sumo':19 'teacher':14 'u':24 'u-boat':23 'wrestler':20
32;Apocalypse Flamingos;A Astounding Story of a Dog And a Squirrel who must Defeat a Woman in An Abandoned Amusement Park;2006;1;6;4.99;119;11.99;R;2013-05-26 14:50:58.951;{Trailers,Commentaries};'abandon':19 'amus':20 'apocalyps':1 'astound':4 'defeat':14 'dog':8 'flamingo':2 'must':13 'park':21 'squirrel':11 'stori':5 'woman':16
265;Dying Maker;A Intrepid Tale of a Boat And a Monkey who must Kill a Cat in California;2006;1;5;4.99;168;28.99;PG;2013-05-26 14:50:58.951;"{""Behind the Scenes""}";'boat':8 'california':18 'cat':16 'die':1 'intrepid':4 'kill':14 'maker':2 'monkey':11 'must':13 'tale':5
44;Attacks Hate;A Fast-Paced Panorama of a Technical Writer And a Mad Scientist who must Find a Feminist in An Abandoned Mine Shaft;2006;1;5;4.99;113;21.99;PG-13;2013-05-26 14:50:58.951;"{Trailers,""Behind the Scenes""}";'abandon':23 'attack':1 'fast':5 'fast-pac':4 'feminist':20 'find':18 'hate':2 'mad':14 'mine':24 'must':17 'pace':6 'panorama':7 'scientist':15 'shaft':25 'technic':10 'writer':11
45;Attraction Newton;A Astounding Panorama of a Composer And a Frisbee who must Reach a Husband in Ancient Japan;2006;1;5;4.99;83;14.99;PG-13;2013-05-26 14:50:58.951;"{Trailers,""Behind the Scenes""}";'ancient':18 'astound':4 'attract':1 'compos':8 'frisbe':11 'husband':16 'japan':19 'must':13 'newton':2 'panorama':5 'reach':14
46;Autumn Crow;A Beautiful Tale of a Dentist And a Mad Cow who must Battle a Moose in The Sahara Desert;2006;1;3;4.99;108;13.99;G;2013-05-26 14:50:58.951;"{Trailers,Commentaries,""Deleted Scenes"",""Behind the Scenes""}";'autumn':1 'battl':15 'beauti':4 'cow':12 'crow':2 'dentist':8 'desert':21 'mad':11 'moos':17 'must':14 'sahara':20 'tale':5
47;Baby Hall;A Boring Character Study of a A Shark And a Girl who must Outrace a Feminist in An Abandoned Mine Shaft;2006;1;5;4.99;153;23.99;NC-17;2013-05-26 14:50:58.951;{Commentaries};'abandon':21 'babi':1 'bore':4 'charact':5 'feminist':18 'girl':13 'hall':2 'mine':22 'must':15 'outrac':16 'shaft':23 'shark':10 'studi':6
48;Backlash Undefeated;A Stunning Character Study of a Mad Scientist And a Mad Cow who must Kill a Car in A Monastery;2006;1;3;4.99;118;24.99;PG-13;2013-05-26 14:50:58.951;"{Trailers,""Behind the Scenes""}";'backlash':1 'car':19 'charact':5 'cow':14 'kill':17 'mad':9,13 'monasteri':22 'must':16 'scientist':10 'studi':6 'stun':4 'undef':2
126;Casualties Encino;A Insightful Yarn of a A Shark And a Pastry Chef who must Face a Boy in A Monastery;2006;1;3;4.99;179;16.99;G;2013-05-26 14:50:58.951;{Trailers};'boy':18 'casualti':1 'chef':13 'encino':2 'face':16 'insight':4 'monasteri':21 'must':15 'pastri':12 'shark':9 'yarn':5
60;Beast Hunchback;A Awe-Inspiring Epistle of a Student And a Squirrel who must Defeat a Boy in Ancient China;2006;1;3;4.99;89;22.99;R;2013-05-26 14:50:58.951;"{""Deleted Scenes"",""Behind the Scenes""}";'ancient':20 'awe':5 'awe-inspir':4 'beast':1 'boy':18 'china':21 'defeat':16 'epistl':7 'hunchback':2 'inspir':6 'must':15 'squirrel':13 'student':10
61;Beauty Grease;A Fast-Paced Display of a Composer And a Moose who must Sink a Robot in An Abandoned Mine Shaft;2006;1;5;4.99;175;28.99;G;2013-05-26 14:50:58.951;{Trailers,Commentaries};'abandon':21 'beauti':1 'compos':10 'display':7 'fast':5 'fast-pac':4 'greas':2 'mine':22 'moos':13 'must':15 'pace':6 'robot':18 'shaft':23 'sink':16
65;Behavior Runaway;A Unbelieveable Drama of a Student And a Husband who must Outrace a Sumo Wrestler in Berlin;2006;1;3;4.99;100;20.99;PG;2013-05-26 14:50:58.951;"{Trailers,""Deleted Scenes"",""Behind the Scenes""}";'behavior':1 'berlin':19 'drama':5 'husband':11 'must':13 'outrac':14 'runaway':2 'student':8 'sumo':16 'unbeliev':4 'wrestler':17
68;Betrayed Rear;A Emotional Character Study of a Boat And a Pioneer who must Find a Explorer in A Shark Tank;2006;1;5;4.99;122;26.99;NC-17;2013-05-26 14:50:58.951;"{Commentaries,""Deleted Scenes"",""Behind the Scenes""}";'betray':1 'boat':9 'charact':5 'emot':4 'explor':17 'find':15 'must':14 'pioneer':12 'rear':2 'shark':20 'studi':6 'tank':21
70;Bikini Borrowers;A Astounding Drama of a Astronaut And a Cat who must Discover a Woman in The First Manned Space Station;2006;1;7;4.99;142;26.99;NC-17;2013-05-26 14:50:58.951;"{Commentaries,""Deleted Scenes""}";'astound':4 'astronaut':8 'bikini':1 'borrow':2 'cat':11 'discov':14 'drama':5 'first':19 'man':20 'must':13 'space':21 'station':22 'woman':16
71;Bilko Anonymous;A Emotional Reflection of a Teacher And a Man who must Meet a Cat in The First Manned Space Station;2006;1;3;4.99;100;25.99;PG-13;2013-05-26 14:50:58.951;"{Commentaries,""Deleted Scenes"",""Behind the Scenes""}";'anonym':2 'bilko':1 'cat':16 'emot':4 'first':19 'man':11,20 'meet':14 'must':13 'reflect':5 'space':21 'station':22 'teacher':8
74;Birch Antitrust;A Fanciful Panorama of a Husband And a Pioneer who must Outgun a Dog in A Baloon;2006;1;4;4.99;162;18.99;PG;2013-05-26 14:50:58.951;"{Trailers,Commentaries,""Deleted Scenes""}";'antitrust':2 'baloon':19 'birch':1 'dog':16 'fanci':4 'husband':8 'must':13 'outgun':14 'panorama':5 'pioneer':11
75;Bird Independence;A Thrilling Documentary of a Car And a Student who must Sink a Hunter in The Canadian Rockies;2006;1;6;4.99;163;14.99;G;2013-05-26 14:50:58.951;"{Commentaries,""Behind the Scenes""}";'bird':1 'canadian':19 'car':8 'documentari':5 'hunter':16 'independ':2 'must':13 'rocki':20 'sink':14 'student':11 'thrill':4
77;Birds Perdition;A Boring Story of a Womanizer And a Pioneer who must Face a Dog in California;2006;1;5;4.99;61;15.99;G;2013-05-26 14:50:58.951;"{Trailers,""Behind the Scenes""}";'bird':1 'bore':4 'california':18 'dog':16 'face':14 'must':13 'perdit':2 'pioneer':11 'stori':5 'woman':8
81;Blindness Gun;A Touching Drama of a Robot And a Dentist who must Meet a Hunter in A Jet Boat;2006;1;6;4.99;103;29.99;PG-13;2013-05-26 14:50:58.951;"{Trailers,""Behind the Scenes""}";'blind':1 'boat':20 'dentist':11 'drama':5 'gun':2 'hunter':16 'jet':19 'meet':14 'must':13 'robot':8 'touch':4
84;Boiled Dares;A Awe-Inspiring Story of a Waitress And a Dog who must Discover a Dentist in Ancient Japan;2006;1;7;4.99;102;13.99;PG;2013-05-26 14:50:58.951;{Trailers,Commentaries};'ancient':20 'awe':5 'awe-inspir':4 'boil':1 'dare':2 'dentist':18 'discov':16 'dog':13 'inspir':6 'japan':21 'must':15 'stori':7 'waitress':10
86;Boogie Amelie;A Lacklusture Character Study of a Husband And a Sumo Wrestler who must Succumb a Technical Writer in The Gulf of Mexico;2006;1;6;4.99;121;11.99;R;2013-05-26 14:50:58.951;"{Commentaries,""Behind the Scenes""}";'ameli':2 'boogi':1 'charact':5 'gulf':22 'husband':9 'lacklustur':4 'mexico':24 'must':15 'studi':6 'succumb':16 'sumo':12 'technic':18 'wrestler':13 'writer':19
88;Born Spinal;A Touching Epistle of a Frisbee And a Husband who must Pursue a Student in Nigeria;2006;1;7;4.99;179;17.99;PG;2013-05-26 14:50:58.951;"{Trailers,Commentaries,""Deleted Scenes""}";'born':1 'epistl':5 'frisbe':8 'husband':11 'must':13 'nigeria':18 'pursu':14 'spinal':2 'student':16 'touch':4
92;Bowfinger Gables;A Fast-Paced Yarn of a Waitress And a Composer who must Outgun a Dentist in California;2006;1;7;4.99;72;19.99;NC-17;2013-05-26 14:50:58.951;"{Trailers,""Deleted Scenes""}";'bowfing':1 'california':20 'compos':13 'dentist':18 'fast':5 'fast-pac':4 'gabl':2 'must':15 'outgun':16 'pace':6 'waitress':10 'yarn':7
93;Brannigan Sunrise;A Amazing Epistle of a Moose And a Crocodile who must Outrace a Dog in Berlin;2006;1;4;4.99;121;27.99;PG;2013-05-26 14:50:58.951;{Trailers};'amaz':4 'berlin':18 'brannigan':1 'crocodil':11 'dog':16 'epistl':5 'moos':8 'must':13 'outrac':14 'sunris':2
95;Breakfast Goldfinger;A Beautiful Reflection of a Student And a Student who must Fight a Moose in Berlin;2006;1;5;4.99;123;18.99;G;2013-05-26 14:50:58.951;"{Trailers,Commentaries,""Deleted Scenes""}";'beauti':4 'berlin':18 'breakfast':1 'fight':14 'goldfing':2 'moos':16 'must':13 'reflect':5 'student':8,11
100;Brooklyn Desert;A Beautiful Drama of a Dentist And a Composer who must Battle a Sumo Wrestler in The First Manned Space Station;2006;1;7;4.99;161;21.99;R;2013-05-26 14:50:58.951;{Commentaries};'battl':14 'beauti':4 'brooklyn':1 'compos':11 'dentist':8 'desert':2 'drama':5 'first':20 'man':21 'must':13 'space':22 'station':23 'sumo':16 'wrestler':17
102;Bubble Grosse;A Awe-Inspiring Panorama of a Crocodile And a Moose who must Confront a Girl in A Baloon;2006;1;4;4.99;60;20.99;R;2013-05-26 14:50:58.951;"{Trailers,Commentaries,""Deleted Scenes"",""Behind the Scenes""}";'awe':5 'awe-inspir':4 'baloon':21 'bubbl':1 'confront':16 'crocodil':10 'girl':18 'gross':2 'inspir':6 'moos':13 'must':15 'panorama':7
103;Bucket Brotherhood;A Amazing Display of a Girl And a Womanizer who must Succumb a Lumberjack in A Baloon Factory;2006;1;7;4.99;133;27.99;PG;2013-05-26 14:50:58.951;"{Commentaries,""Deleted Scenes""}";'amaz':4 'baloon':19 'brotherhood':2 'bucket':1 'display':5 'factori':20 'girl':8 'lumberjack':16 'must':13 'succumb':14 'woman':11
112;Calendar Gunfight;A Thrilling Drama of a Frisbee And a Lumberjack who must Sink a Man in Nigeria;2006;1;4;4.99;120;22.99;NC-17;2013-05-26 14:50:58.951;"{Trailers,Commentaries,""Behind the Scenes""}";'calendar':1 'drama':5 'frisbe':8 'gunfight':2 'lumberjack':11 'man':16 'must':13 'nigeria':18 'sink':14 'thrill':4
113;California Birds;A Thrilling Yarn of a Database Administrator And a Robot who must Battle a Database Administrator in Ancient India;2006;1;4;4.99;75;19.99;NC-17;2013-05-26 14:50:58.951;"{Trailers,Commentaries,""Deleted Scenes""}";'administr':9,18 'ancient':20 'battl':15 'bird':2 'california':1 'databas':8,17 'india':21 'must':14 'robot':12 'thrill':4 'yarn':5
117;Candles Grapes;A Fanciful Character Study of a Monkey And a Explorer who must Build a Astronaut in An Abandoned Fun House;2006;1;6;4.99;135;15.99;NC-17;2013-05-26 14:50:58.951;"{Trailers,""Deleted Scenes""}";'abandon':20 'astronaut':17 'build':15 'candl':1 'charact':5 'explor':12 'fanci':4 'fun':21 'grape':2 'hous':22 'monkey':9 'must':14 'studi':6
120;Caribbean Liberty;A Fanciful Tale of a Pioneer And a Technical Writer who must Outgun a Pioneer in A Shark Tank;2006;1;3;4.99;92;16.99;NC-17;2013-05-26 14:50:58.951;"{Commentaries,""Deleted Scenes""}";'caribbean':1 'fanci':4 'liberti':2 'must':14 'outgun':15 'pioneer':8,17 'shark':20 'tale':5 'tank':21 'technic':11 'writer':12
123;Casablanca Super;A Amazing Panorama of a Crocodile And a Forensic Psychologist who must Pursue a Secret Agent in The First Manned Space Station;2006;1;6;4.99;85;22.99;G;2013-05-26 14:50:58.951;"{Trailers,""Deleted Scenes"",""Behind the Scenes""}";'agent':18 'amaz':4 'casablanca':1 'crocodil':8 'first':21 'forens':11 'man':22 'must':14 'panorama':5 'psychologist':12 'pursu':15 'secret':17 'space':23 'station':24 'super':2
124;Casper Dragonfly;A Intrepid Documentary of a Boat And a Crocodile who must Chase a Robot in The Sahara Desert;2006;1;3;4.99;163;16.99;PG-13;2013-05-26 14:50:58.951;{Trailers};'boat':8 'casper':1 'chase':14 'crocodil':11 'desert':20 'documentari':5 'dragonfli':2 'intrepid':4 'must':13 'robot':16 'sahara':19
127;Cat Coneheads;A Fast-Paced Panorama of a Girl And a A Shark who must Confront a Boy in Ancient India;2006;1;5;4.99;112;14.99;G;2013-05-26 14:50:58.951;"{Commentaries,""Deleted Scenes""}";'ancient':21 'boy':19 'cat':1 'conehead':2 'confront':17 'fast':5 'fast-pac':4 'girl':10 'india':22 'must':16 'pace':6 'panorama':7 'shark':14
131;Center Dinosaur;A Beautiful Character Study of a Sumo Wrestler And a Dentist who must Find a Dog in California;2006;1;5;4.99;152;12.99;PG;2013-05-26 14:50:58.951;"{""Deleted Scenes""}";'beauti':4 'california':20 'center':1 'charact':5 'dentist':13 'dinosaur':2 'dog':18 'find':16 'must':15 'studi':6 'sumo':9 'wrestler':10
134;Champion Flatliners;A Amazing Story of a Mad Cow And a Dog who must Kill a Husband in A Monastery;2006;1;4;4.99;51;21.99;PG;2013-05-26 14:50:58.951;{Trailers};'amaz':4 'champion':1 'cow':9 'dog':12 'flatlin':2 'husband':17 'kill':15 'mad':8 'monasteri':20 'must':14 'stori':5
139;Chasing Fight;A Astounding Saga of a Technical Writer And a Butler who must Battle a Butler in A Shark Tank;2006;1;7;4.99;114;21.99;PG;2013-05-26 14:50:58.951;{Trailers,Commentaries};'astound':4 'battl':15 'butler':12,17 'chase':1 'fight':2 'must':14 'saga':5 'shark':20 'tank':21 'technic':8 'writer':9
141;Chicago North;A Fateful Yarn of a Mad Cow And a Waitress who must Battle a Student in California;2006;1;6;4.99;185;11.99;PG-13;2013-05-26 14:50:58.951;"{""Deleted Scenes"",""Behind the Scenes""}";'battl':15 'california':19 'chicago':1 'cow':9 'fate':4 'mad':8 'must':14 'north':2 'student':17 'waitress':12 'yarn':5
144;Chinatown Gladiator;A Brilliant Panorama of a Technical Writer And a Lumberjack who must Escape a Butler in Ancient India;2006;1;7;4.99;61;24.99;PG;2013-05-26 14:50:58.951;"{Trailers,Commentaries,""Deleted Scenes""}";'ancient':19 'brilliant':4 'butler':17 'chinatown':1 'escap':15 'gladiat':2 'india':20 'lumberjack':12 'must':14 'panorama':5 'technic':8 'writer':9
145;Chisum Behavior;A Epic Documentary of a Sumo Wrestler And a Butler who must Kill a Car in Ancient India;2006;1;5;4.99;124;25.99;G;2013-05-26 14:50:58.951;"{Trailers,Commentaries,""Behind the Scenes""}";'ancient':19 'behavior':2 'butler':12 'car':17 'chisum':1 'documentari':5 'epic':4 'india':20 'kill':15 'must':14 'sumo':8 'wrestler':9
151;Cincinatti Whisperer;A Brilliant Saga of a Pastry Chef And a Hunter who must Confront a Butler in Berlin;2006;1;5;4.99;143;26.99;NC-17;2013-05-26 14:50:58.951;"{""Deleted Scenes""}";'berlin':19 'brilliant':4 'butler':17 'chef':9 'cincinatti':1 'confront':15 'hunter':12 'must':14 'pastri':8 'saga':5 'whisper':2
156;Clerks Angels;A Thrilling Display of a Sumo Wrestler And a Girl who must Confront a Man in A Baloon;2006;1;3;4.99;164;15.99;G;2013-05-26 14:50:58.951;{Commentaries};'angel':2 'baloon':20 'clerk':1 'confront':15 'display':5 'girl':12 'man':17 'must':14 'sumo':8 'thrill':4 'wrestler':9
159;Closer Bang;A Unbelieveable Panorama of a Frisbee And a Hunter who must Vanquish a Monkey in Ancient India;2006;1;5;4.99;58;12.99;R;2013-05-26 14:50:58.951;"{Trailers,""Behind the Scenes""}";'ancient':18 'bang':2 'closer':1 'frisbe':8 'hunter':11 'india':19 'monkey':16 'must':13 'panorama':5 'unbeliev':4 'vanquish':14
161;Clue Grail;A Taut Tale of a Butler And a Mad Scientist who must Build a Crocodile in Ancient China;2006;1;6;4.99;70;27.99;NC-17;2013-05-26 14:50:58.951;"{Trailers,Commentaries,""Behind the Scenes""}";'ancient':19 'build':15 'butler':8 'china':20 'clue':1 'crocodil':17 'grail':2 'mad':11 'must':14 'scientist':12 'tale':5 'taut':4
165;Coldblooded Darling;A Brilliant Panorama of a Dentist And a Moose who must Find a Student in The Gulf of Mexico;2006;1;7;4.99;70;27.99;G;2013-05-26 14:50:58.951;"{Trailers,""Deleted Scenes""}";'brilliant':4 'coldblood':1 'darl':2 'dentist':8 'find':14 'gulf':19 'mexico':21 'moos':11 'must':13 'panorama':5 'student':16
167;Coma Head;A Awe-Inspiring Drama of a Boy And a Frisbee who must Escape a Pastry Chef in California;2006;1;6;4.99;109;10.99;NC-17;2013-05-26 14:50:58.951;{Commentaries};'awe':5 'awe-inspir':4 'boy':10 'california':21 'chef':19 'coma':1 'drama':7 'escap':16 'frisbe':13 'head':2 'inspir':6 'must':15 'pastri':18
170;Command Darling;A Awe-Inspiring Tale of a Forensic Psychologist And a Woman who must Challenge a Database Administrator in Ancient Japan;2006;1;5;4.99;120;28.99;PG-13;2013-05-26 14:50:58.951;"{""Behind the Scenes""}";'administr':20 'ancient':22 'awe':5 'awe-inspir':4 'challeng':17 'command':1 'darl':2 'databas':19 'forens':10 'inspir':6 'japan':23 'must':16 'psychologist':11 'tale':7 'woman':14
171;Commandments Express;A Fanciful Saga of a Student And a Mad Scientist who must Battle a Hunter in An Abandoned Mine Shaft;2006;1;6;4.99;59;13.99;R;2013-05-26 14:50:58.951;"{Trailers,Commentaries,""Deleted Scenes""}";'abandon':20 'battl':15 'command':1 'express':2 'fanci':4 'hunter':17 'mad':11 'mine':21 'must':14 'saga':5 'scientist':12 'shaft':22 'student':8
172;Coneheads Smoochy;A Touching Story of a Womanizer And a Composer who must Pursue a Husband in Nigeria;2006;1;7;4.99;112;12.99;NC-17;2013-05-26 14:50:58.951;"{""Deleted Scenes"",""Behind the Scenes""}";'compos':11 'conehead':1 'husband':16 'must':13 'nigeria':18 'pursu':14 'smoochi':2 'stori':5 'touch':4 'woman':8
173;Confessions Maguire;A Insightful Story of a Car And a Boy who must Battle a Technical Writer in A Baloon;2006;1;7;4.99;65;25.99;PG-13;2013-05-26 14:50:58.951;"{""Behind the Scenes""}";'baloon':20 'battl':14 'boy':11 'car':8 'confess':1 'insight':4 'maguir':2 'must':13 'stori':5 'technic':16 'writer':17
174;Confidential Interview;A Stunning Reflection of a Cat And a Woman who must Find a Astronaut in Ancient Japan;2006;1;6;4.99;180;13.99;NC-17;2013-05-26 14:50:58.951;{Commentaries};'ancient':18 'astronaut':16 'cat':8 'confidenti':1 'find':14 'interview':2 'japan':19 'must':13 'reflect':5 'stun':4 'woman':11
177;Connecticut Tramp;A Unbelieveable Drama of a Crocodile And a Mad Cow who must Reach a Dentist in A Shark Tank;2006;1;4;4.99;172;20.99;R;2013-05-26 14:50:58.951;"{Commentaries,""Deleted Scenes""}";'connecticut':1 'cow':12 'crocodil':8 'dentist':17 'drama':5 'mad':11 'must':14 'reach':15 'shark':20 'tank':21 'tramp':2 'unbeliev':4
179;Conquerer Nuts;A Taut Drama of a Mad Scientist And a Man who must Escape a Pioneer in An Abandoned Mine Shaft;2006;1;4;4.99;173;14.99;G;2013-05-26 14:50:58.951;"{Commentaries,""Deleted Scenes"",""Behind the Scenes""}";'abandon':20 'conquer':1 'drama':5 'escap':15 'mad':8 'man':12 'mine':21 'must':14 'nut':2 'pioneer':17 'scientist':9 'shaft':22 'taut':4
182;Control Anthem;A Fateful Documentary of a Robot And a Student who must Battle a Cat in A Monastery;2006;1;7;4.99;185;9.99;G;2013-05-26 14:50:58.951;{Commentaries};'anthem':2 'battl':14 'cat':16 'control':1 'documentari':5 'fate':4 'monasteri':19 'must':13 'robot':8 'student':11
183;Conversation Downhill;A Taut Character Study of a Husband And a Waitress who must Sink a Squirrel in A MySQL Convention;2006;1;4;4.99;112;14.99;R;2013-05-26 14:50:58.951;{Commentaries};'charact':5 'convent':21 'convers':1 'downhil':2 'husband':9 'must':14 'mysql':20 'sink':15 'squirrel':17 'studi':6 'taut':4 'waitress':12
190;Creepers Kane;A Awe-Inspiring Reflection of a Squirrel And a Boat who must Outrace a Car in A Jet Boat;2006;1;5;4.99;172;23.99;NC-17;2013-05-26 14:50:58.951;"{Trailers,""Behind the Scenes""}";'awe':5 'awe-inspir':4 'boat':13,22 'car':18 'creeper':1 'inspir':6 'jet':21 'kane':2 'must':15 'outrac':16 'reflect':7 'squirrel':10
192;Crossing Divorce;A Beautiful Documentary of a Dog And a Robot who must Redeem a Womanizer in Berlin;2006;1;4;4.99;50;19.99;R;2013-05-26 14:50:58.951;"{Commentaries,""Deleted Scenes"",""Behind the Scenes""}";'beauti':4 'berlin':18 'cross':1 'divorc':2 'documentari':5 'dog':8 'must':13 'redeem':14 'robot':11 'woman':16
195;Crowds Telemark;A Intrepid Documentary of a Astronaut And a Forensic Psychologist who must Find a Frisbee in An Abandoned Fun House;2006;1;3;4.99;112;16.99;R;2013-05-26 14:50:58.951;"{Trailers,""Behind the Scenes""}";'abandon':20 'astronaut':8 'crowd':1 'documentari':5 'find':15 'forens':11 'frisbe':17 'fun':21 'hous':22 'intrepid':4 'must':14 'psychologist':12 'telemark':2
202;Daddy Pittsburgh;A Epic Story of a A Shark And a Student who must Confront a Explorer in The Gulf of Mexico;2006;1;5;4.99;161;26.99;G;2013-05-26 14:50:58.951;"{""Deleted Scenes"",""Behind the Scenes""}";'confront':15 'daddi':1 'epic':4 'explor':17 'gulf':20 'mexico':22 'must':14 'pittsburgh':2 'shark':9 'stori':5 'student':12
203;Daisy Menagerie;A Fast-Paced Saga of a Pastry Chef And a Monkey who must Sink a Composer in Ancient India;2006;1;5;4.99;84;9.99;G;2013-05-26 14:50:58.951;"{Trailers,Commentaries,""Behind the Scenes""}";'ancient':21 'chef':11 'compos':19 'daisi':1 'fast':5 'fast-pac':4 'india':22 'menageri':2 'monkey':14 'must':16 'pace':6 'pastri':10 'saga':7 'sink':17
207;Dangerous Uptown;A Unbelieveable Story of a Mad Scientist And a Woman who must Overcome a Dog in California;2006;1;7;4.99;121;26.99;PG;2013-05-26 14:50:58.951;{Commentaries};'california':19 'danger':1 'dog':17 'mad':8 'must':14 'overcom':15 'scientist':9 'stori':5 'unbeliev':4 'uptown':2 'woman':12
210;Darko Dorado;A Stunning Reflection of a Frisbee And a Husband who must Redeem a Dog in New Orleans;2006;1;3;4.99;130;13.99;NC-17;2013-05-26 14:50:58.951;"{Trailers,Commentaries,""Deleted Scenes"",""Behind the Scenes""}";'darko':1 'dog':16 'dorado':2 'frisbe':8 'husband':11 'must':13 'new':18 'orlean':19 'redeem':14 'reflect':5 'stun':4
211;Darling Breaking;A Brilliant Documentary of a Astronaut And a Squirrel who must Succumb a Student in The Gulf of Mexico;2006;1;7;4.99;165;20.99;PG-13;2013-05-26 14:50:58.951;"{Commentaries,""Behind the Scenes""}";'astronaut':8 'break':2 'brilliant':4 'darl':1 'documentari':5 'gulf':19 'mexico':21 'must':13 'squirrel':11 'student':16 'succumb':14
212;Darn Forrester;A Fateful Story of a A Shark And a Explorer who must Succumb a Technical Writer in A Jet Boat;2006;1;7;4.99;185;14.99;G;2013-05-26 14:50:58.951;"{""Deleted Scenes""}";'boat':22 'darn':1 'explor':12 'fate':4 'forrest':2 'jet':21 'must':14 'shark':9 'stori':5 'succumb':15 'technic':17 'writer':18
